dataset,n_samples,face_acc,audio_acc,v3_acc,mlp_acc,face_f1,audio_f1,v3_f1,mlp_f1
"RAVDESS Test Set (300 clips, 5 held-out actors)",300,0.2966666666666667,0.9133333333333333,0.8733333333333333,0.9066666666666666,0.2088773438282016,0.9104055376913187,0.8744174118583736,0.9018706617201602
"Elderly AI-Generated (14 clips, out-of-domain)",14,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.5471861471861472,0.6,0.6547619047619048,0.711111111111111
Neurological Conditions (YouTube clips),8,0.25,0.5,0.5,0.375,0.20833333333333331,0.2708333333333333,0.29166666666666663,0.25
